decision_time,true_result,sim_1
2023-11-02 04:00:00,"(np.True_, np.float64(5.67))","(True, 6.48)"
2023-11-02 16:00:00,"(np.True_, np.float64(10.09))","(True, 7.14)"
2023-11-03 04:00:00,"(np.True_, np.float64(4.46))","(True, 6.28)"
2023-11-03 16:00:00,"(np.True_, np.float64(8.48))","(True, 10.7)"
2023-11-04 04:00:00,"(np.True_, np.float64(4.64))","(True, 5.21)"
2023-11-04 16:00:00,"(np.True_, np.float64(5.61))","(True, 10.72)"
2023-11-05 04:00:00,"(np.True_, np.float64(4.98))","(True, 6.69)"
2023-11-05 16:00:00,"(np.True_, np.float64(5.21))","(False, 12.0)"
2023-11-06 04:00:00,"(np.True_, np.float64(1.93))","(False, 12.0)"
2023-11-06 16:00:00,"(np.True_, np.float64(9.79))","(False, 12.0)"
2023-11-07 04:00:00,"(np.False_, np.float64(12.0))","(True, 2.25)"
2023-11-07 16:00:00,"(np.False_, np.float64(12.0))","(True, 7.18)"
2023-11-08 04:00:00,"(np.True_, np.float64(10.68))","(True, 5.25)"
2023-11-08 16:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-11-09 04:00:00,"(np.True_, np.float64(4.81))","(True, 5.22)"
2023-11-09 16:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-11-10 04:00:00,"(np.True_, np.float64(9.22))","(True, 7.23)"
2023-11-10 16:00:00,"(np.True_, np.float64(10.12))","(True, 4.68)"
2023-11-11 04:00:00,"(np.True_, np.float64(5.43))","(True, 7.9)"
2023-11-11 16:00:00,"(np.False_, np.float64(12.0))","(True, 9.83)"
2023-11-12 04:00:00,"(np.True_, np.float64(6.32))","(True, 1.19)"
2023-11-12 16:00:00,"(np.True_, np.float64(8.19))","(True, 4.36)"
2023-11-13 04:00:00,"(np.True_, np.float64(7.86))","(True, 8.34)"
2023-11-13 16:00:00,"(np.True_, np.float64(6.7))","(False, 12.0)"
2023-11-14 04:00:00,"(np.True_, np.float64(4.56))","(False, 12.0)"
2023-11-14 16:00:00,"(np.False_, np.float64(12.0))","(True, 2.08)"
2023-11-15 04:00:00,"(np.True_, np.float64(1.16))","(False, 12.0)"
2023-11-15 16:00:00,"(np.True_, np.float64(8.97))","(True, 8.35)"
2023-11-16 04:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-11-16 16:00:00,"(np.False_, np.float64(12.0))","(True, 10.69)"
2023-11-17 04:00:00,"(np.True_, np.float64(5.12))","(True, 4.39)"
2023-11-17 16:00:00,"(np.True_, np.float64(8.83))","(True, 6.65)"
2023-11-18 04:00:00,"(np.True_, np.float64(6.37))","(True, 6.85)"
2023-11-18 16:00:00,"(np.True_, np.float64(3.6))","(True, 4.23)"
2023-11-19 04:00:00,"(np.True_, np.float64(5.31))","(False, 12.0)"
2023-11-19 16:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-11-20 04:00:00,"(np.True_, np.float64(6.41))","(True, 4.98)"
2023-11-20 16:00:00,"(np.True_, np.float64(11.34))","(True, 10.13)"
2023-11-21 04:00:00,"(np.False_, np.float64(12.0))","(True, 6.47)"
2023-11-21 16:00:00,"(np.False_, np.float64(12.0))","(True, 6.51)"
2023-11-22 04:00:00,"(np.True_, np.float64(1.72))","(True, 6.52)"
2023-11-22 16:00:00,"(np.True_, np.float64(7.5))","(True, 5.18)"
2023-11-23 04:00:00,"(np.True_, np.float64(5.53))","(True, 0.07)"
2023-11-23 16:00:00,"(np.False_, np.float64(12.0))","(True, 8.47)"
2023-11-24 04:00:00,"(np.False_, np.float64(12.0))","(True, 1.8)"
2023-11-24 16:00:00,"(np.True_, np.float64(6.65))","(False, 12.0)"
2023-11-25 04:00:00,"(np.False_, np.float64(12.0))","(True, 3.58)"
2023-11-25 16:00:00,"(np.True_, np.float64(10.14))","(True, 5.02)"
2023-11-26 04:00:00,"(np.True_, np.float64(5.12))","(True, 2.69)"
2023-11-26 16:00:00,"(np.True_, np.float64(5.29))","(False, 12.0)"
2023-11-27 04:00:00,"(np.True_, np.float64(10.17))","(True, 5.56)"
2023-11-27 16:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-11-28 04:00:00,"(np.True_, np.float64(7.33))","(True, 5.19)"
2023-11-28 16:00:00,"(np.True_, np.float64(8.43))","(False, 12.0)"
2023-11-29 04:00:00,"(np.True_, np.float64(2.99))","(True, 3.79)"
2023-11-29 16:00:00,"(np.True_, np.float64(5.47))","(True, 3.19)"
2023-11-30 04:00:00,"(np.True_, np.float64(7.26))","(True, 5.58)"
2023-11-30 16:00:00,"(np.True_, np.float64(11.14))","(False, 12.0)"
2023-12-01 04:00:00,"(np.True_, np.float64(9.27))","(True, 6.47)"
2023-12-01 16:00:00,"(np.True_, np.float64(6.44))","(False, 12.0)"
2023-12-02 04:00:00,"(np.True_, np.float64(6.35))","(True, 4.54)"
2023-12-02 16:00:00,"(np.True_, np.float64(9.58))","(True, 5.28)"
2023-12-03 04:00:00,"(np.True_, np.float64(3.34))","(False, 12.0)"
2023-12-03 16:00:00,"(np.False_, np.float64(12.0))","(True, 7.26)"
2023-12-04 04:00:00,"(np.True_, np.float64(10.72))","(False, 12.0)"
2023-12-04 16:00:00,"(np.True_, np.float64(10.18))","(True, 5.49)"
2023-12-05 04:00:00,"(np.True_, np.float64(3.53))","(True, 9.78)"
2023-12-05 16:00:00,"(np.True_, np.float64(6.96))","(True, 4.44)"
2023-12-06 04:00:00,"(np.True_, np.float64(4.37))","(True, 10.94)"
2023-12-06 16:00:00,"(np.True_, np.float64(7.04))","(True, 7.23)"
2023-12-07 04:00:00,"(np.True_, np.float64(4.07))","(False, 12.0)"
