decision_time,true_result,sim_1
2023-09-22 04:00:00,"(np.True_, np.float64(0.89))","(True, 2.3)"
2023-09-22 16:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-09-23 04:00:00,"(np.True_, np.float64(10.96))","(True, 3.79)"
2023-09-23 16:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-09-24 04:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-09-24 16:00:00,"(np.True_, np.float64(0.08))","(True, 2.77)"
2023-09-25 04:00:00,"(np.True_, np.float64(2.64))","(False, 12.0)"
2023-09-25 16:00:00,"(np.True_, np.float64(2.18))","(True, 1.78)"
2023-09-26 04:00:00,"(np.True_, np.float64(1.03))","(False, 12.0)"
2023-09-26 16:00:00,"(np.True_, np.float64(2.6))","(True, 0.76)"
2023-09-27 04:00:00,"(np.True_, np.float64(0.84))","(True, 2.07)"
2023-09-27 16:00:00,"(np.True_, np.float64(2.37))","(True, 5.6)"
2023-09-28 04:00:00,"(np.True_, np.float64(2.88))","(False, 12.0)"
2023-09-28 16:00:00,"(np.True_, np.float64(2.56))","(True, 1.38)"
2023-09-29 04:00:00,"(np.False_, np.float64(12.0))","(True, 0.95)"
2023-09-29 16:00:00,"(np.False_, np.float64(12.0))","(True, 0.85)"
2023-09-30 04:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-09-30 16:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-10-01 04:00:00,"(np.True_, np.float64(5.52))","(False, 12.0)"
2023-10-01 16:00:00,"(np.True_, np.float64(3.26))","(False, 12.0)"
2023-10-02 04:00:00,"(np.True_, np.float64(0.8))","(True, 0.8)"
2023-10-02 16:00:00,"(np.True_, np.float64(2.73))","(True, 2.67)"
2023-10-03 04:00:00,"(np.True_, np.float64(1.0))","(False, 12.0)"
2023-10-03 16:00:00,"(np.True_, np.float64(2.06))","(False, 12.0)"
2023-10-04 04:00:00,"(np.True_, np.float64(0.97))","(False, 12.0)"
2023-10-04 16:00:00,"(np.True_, np.float64(1.99))","(True, 2.52)"
2023-10-05 04:00:00,"(np.False_, np.float64(12.0))","(True, 0.93)"
2023-10-05 16:00:00,"(np.True_, np.float64(2.51))","(True, 1.95)"
2023-10-06 04:00:00,"(np.True_, np.float64(0.77))","(False, 12.0)"
2023-10-06 16:00:00,"(np.False_, np.float64(12.0))","(True, 0.14)"
2023-10-07 04:00:00,"(np.True_, np.float64(6.76))","(True, 7.1)"
2023-10-07 16:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-10-08 04:00:00,"(np.True_, np.float64(7.05))","(True, 1.11)"
2023-10-08 16:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-10-09 04:00:00,"(np.True_, np.float64(0.83))","(True, 0.94)"
2023-10-09 16:00:00,"(np.True_, np.float64(1.99))","(False, 12.0)"
2023-10-10 04:00:00,"(np.True_, np.float64(0.82))","(True, 2.18)"
2023-10-10 16:00:00,"(np.True_, np.float64(4.22))","(True, 2.92)"
2023-10-11 04:00:00,"(np.True_, np.float64(0.88))","(True, 2.56)"
2023-10-11 16:00:00,"(np.True_, np.float64(2.88))","(True, 2.22)"
2023-10-12 04:00:00,"(np.True_, np.float64(0.94))","(True, 2.87)"
2023-10-12 16:00:00,"(np.True_, np.float64(2.69))","(True, 2.29)"
2023-10-13 04:00:00,"(np.True_, np.float64(0.95))","(False, 12.0)"
2023-10-13 16:00:00,"(np.False_, np.float64(12.0))","(True, 0.8)"
2023-10-14 04:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-10-14 16:00:00,"(np.True_, np.float64(1.2))","(False, 12.0)"
2023-10-15 04:00:00,"(np.False_, np.float64(12.0))","(True, 2.02)"
2023-10-15 16:00:00,"(np.True_, np.float64(2.33))","(False, 12.0)"
2023-10-16 04:00:00,"(np.True_, np.float64(2.04))","(True, 2.17)"
2023-10-16 16:00:00,"(np.False_, np.float64(12.0))","(True, 0.83)"
2023-10-17 04:00:00,"(np.False_, np.float64(12.0))","(True, 1.5)"
2023-10-17 16:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-10-18 04:00:00,"(np.False_, np.float64(12.0))","(True, 2.52)"
2023-10-18 16:00:00,"(np.False_, np.float64(12.0))","(True, 2.27)"
2023-10-19 04:00:00,"(np.False_, np.float64(12.0))","(True, 2.84)"
2023-10-19 16:00:00,"(np.True_, np.float64(2.11))","(True, 0.97)"
2023-10-20 04:00:00,"(np.True_, np.float64(0.83))","(True, 2.31)"
2023-10-20 16:00:00,"(np.False_, np.float64(12.0))","(True, 0.07)"
2023-10-21 04:00:00,"(np.False_, np.float64(12.0))","(True, 1.0)"
2023-10-21 16:00:00,"(np.False_, np.float64(12.0))","(True, 2.35)"
2023-10-22 04:00:00,"(np.False_, np.float64(12.0))","(True, 1.37)"
2023-10-22 16:00:00,"(np.True_, np.float64(2.93))","(False, 12.0)"
2023-10-23 04:00:00,"(np.True_, np.float64(2.05))","(False, 12.0)"
2023-10-23 16:00:00,"(np.True_, np.float64(2.31))","(True, 0.77)"
2023-10-24 04:00:00,"(np.True_, np.float64(0.9))","(True, 1.37)"
2023-10-24 16:00:00,"(np.True_, np.float64(1.3))","(True, 0.87)"
2023-10-25 04:00:00,"(np.True_, np.float64(0.81))","(False, 12.0)"
2023-10-25 16:00:00,"(np.True_, np.float64(2.75))","(True, 2.52)"
2023-10-26 04:00:00,"(np.True_, np.float64(1.2))","(True, 11.12)"
2023-10-26 16:00:00,"(np.True_, np.float64(2.59))","(True, 1.0)"
2023-10-27 04:00:00,"(np.True_, np.float64(0.83))","(False, 12.0)"
2023-10-27 16:00:00,"(np.False_, np.float64(12.0))","(True, 0.81)"
2023-10-28 04:00:00,"(np.True_, np.float64(6.46))","(False, 12.0)"
2023-10-28 16:00:00,"(np.False_, np.float64(12.0))","(True, 0.8)"
2023-10-29 04:00:00,"(np.True_, np.float64(7.72))","(True, 2.52)"
2023-10-29 16:00:00,"(np.False_, np.float64(12.0))","(False, 12.0)"
2023-10-30 04:00:00,"(np.True_, np.float64(2.25))","(True, 1.31)"
2023-10-30 16:00:00,"(np.True_, np.float64(1.71))","(True, 0.94)"
2023-10-31 04:00:00,"(np.True_, np.float64(0.95))","(True, 1.3)"
2023-10-31 16:00:00,"(np.True_, np.float64(1.84))","(True, 0.92)"
2023-11-01 04:00:00,"(np.True_, np.float64(1.23))","(False, 12.0)"
