decision_time,true_result,sim_1
2024-01-27 04:00:00,"(np.True_, np.float64(7.49))","(True, 7.76)"
2024-01-27 16:00:00,"(np.True_, np.float64(5.3))","(True, 6.15)"
2024-01-28 04:00:00,"(np.True_, np.float64(1.15))","(True, 6.48)"
2024-01-28 16:00:00,"(np.True_, np.float64(7.49))","(True, 3.33)"
2024-01-29 04:00:00,"(np.True_, np.float64(8.68))","(True, 6.32)"
2024-01-29 16:00:00,"(np.True_, np.float64(6.65))","(True, 3.29)"
2024-01-30 04:00:00,"(np.True_, np.float64(5.85))","(True, 1.19)"
2024-01-30 16:00:00,"(np.True_, np.float64(6.09))","(True, 2.32)"
2024-01-31 04:00:00,"(np.True_, np.float64(2.47))","(True, 1.29)"
2024-01-31 16:00:00,"(np.True_, np.float64(4.48))","(True, 0.53)"
2024-02-01 04:00:00,"(np.True_, np.float64(5.75))","(True, 4.53)"
2024-02-01 16:00:00,"(np.True_, np.float64(4.78))","(True, 3.34)"
2024-02-02 04:00:00,"(np.True_, np.float64(9.56))","(True, 2.33)"
2024-02-02 16:00:00,"(np.True_, np.float64(4.08))","(True, 6.1)"
2024-02-03 04:00:00,"(np.True_, np.float64(8.51))","(True, 3.63)"
2024-02-03 16:00:00,"(np.True_, np.float64(6.98))","(True, 5.82)"
2024-02-04 04:00:00,"(np.True_, np.float64(1.25))","(True, 6.95)"
2024-02-04 16:00:00,"(np.True_, np.float64(1.37))","(True, 2.01)"
2024-02-05 04:00:00,"(np.True_, np.float64(9.67))","(True, 4.08)"
2024-02-05 16:00:00,"(np.True_, np.float64(10.59))","(True, 6.29)"
2024-02-06 04:00:00,"(np.True_, np.float64(6.93))","(True, 4.52)"
2024-02-06 16:00:00,"(np.True_, np.float64(4.64))","(True, 2.55)"
2024-02-07 04:00:00,"(np.True_, np.float64(2.11))","(True, 1.26)"
2024-02-07 16:00:00,"(np.True_, np.float64(5.09))","(True, 2.34)"
2024-02-08 04:00:00,"(np.True_, np.float64(6.31))","(True, 2.33)"
2024-02-08 16:00:00,"(np.True_, np.float64(1.27))","(True, 3.07)"
2024-02-09 04:00:00,"(np.True_, np.float64(6.17))","(True, 2.68)"
2024-02-09 16:00:00,"(np.True_, np.float64(8.18))","(True, 1.24)"
2024-02-10 04:00:00,"(np.True_, np.float64(8.17))","(True, 1.91)"
2024-02-10 16:00:00,"(np.True_, np.float64(3.18))","(True, 1.2)"
2024-02-11 04:00:00,"(np.True_, np.float64(1.18))","(True, 5.65)"
2024-02-11 16:00:00,"(np.True_, np.float64(6.66))","(True, 0.24)"
2024-02-12 04:00:00,"(np.True_, np.float64(8.8))","(True, 6.12)"
2024-02-12 16:00:00,"(np.True_, np.float64(2.23))","(True, 2.69)"
2024-02-13 04:00:00,"(np.True_, np.float64(5.82))","(True, 5.4)"
2024-02-13 16:00:00,"(np.True_, np.float64(5.95))","(True, 2.35)"
2024-02-14 04:00:00,"(np.True_, np.float64(2.42))","(True, 4.71)"
2024-02-14 16:00:00,"(np.True_, np.float64(6.4))","(True, 1.29)"
2024-02-15 04:00:00,"(np.True_, np.float64(5.26))","(True, 3.83)"
2024-02-15 16:00:00,"(np.True_, np.float64(0.85))","(True, 2.12)"
2024-02-16 04:00:00,"(np.True_, np.float64(6.34))","(True, 1.33)"
2024-02-16 16:00:00,"(np.True_, np.float64(0.32))","(True, 0.27)"
2024-02-17 04:00:00,"(np.True_, np.float64(7.93))","(True, 6.97)"
2024-02-17 16:00:00,"(np.True_, np.float64(0.35))","(True, 3.41)"
2024-02-18 04:00:00,"(np.True_, np.float64(1.21))","(True, 6.23)"
2024-02-18 16:00:00,"(np.True_, np.float64(5.08))","(True, 2.23)"
2024-02-19 04:00:00,"(np.True_, np.float64(7.13))","(True, 0.35)"
2024-02-19 16:00:00,"(np.True_, np.float64(6.12))","(True, 0.65)"
2024-02-20 04:00:00,"(np.True_, np.float64(5.49))","(True, 6.74)"
2024-02-20 16:00:00,"(np.True_, np.float64(6.83))","(True, 6.5)"
2024-02-21 04:00:00,"(np.True_, np.float64(2.4))","(True, 0.65)"
2024-02-21 16:00:00,"(np.True_, np.float64(8.0))","(True, 1.14)"
2024-02-22 04:00:00,"(np.True_, np.float64(7.21))","(True, 5.42)"
2024-02-22 16:00:00,"(np.True_, np.float64(6.75))","(True, 5.69)"
2024-02-23 04:00:00,"(np.True_, np.float64(5.62))","(True, 5.2)"
2024-02-23 16:00:00,"(np.True_, np.float64(6.56))","(True, 6.01)"
2024-02-24 04:00:00,"(np.True_, np.float64(8.07))","(True, 2.03)"
2024-02-24 16:00:00,"(np.True_, np.float64(6.32))","(True, 0.33)"
2024-02-25 04:00:00,"(np.True_, np.float64(1.22))","(True, 2.38)"
2024-02-25 16:00:00,"(np.True_, np.float64(7.24))","(True, 6.11)"
2024-02-26 04:00:00,"(np.True_, np.float64(6.99))","(True, 2.64)"
2024-02-26 16:00:00,"(np.True_, np.float64(2.49))","(True, 6.35)"
2024-02-27 04:00:00,"(np.True_, np.float64(1.94))","(True, 6.56)"
2024-02-27 16:00:00,"(np.True_, np.float64(5.43))","(True, 4.84)"
2024-02-28 04:00:00,"(np.True_, np.float64(4.57))","(True, 1.23)"
2024-02-28 16:00:00,"(np.True_, np.float64(4.8))","(True, 1.07)"
2024-02-29 04:00:00,"(np.True_, np.float64(4.21))","(True, 0.97)"
2024-02-29 16:00:00,"(np.True_, np.float64(4.97))","(True, 2.47)"
2024-03-01 04:00:00,"(np.True_, np.float64(3.78))","(True, 1.29)"
2024-03-01 16:00:00,"(np.True_, np.float64(6.11))","(True, 6.3)"
2024-03-02 04:00:00,"(np.True_, np.float64(2.87))","(True, 2.12)"
2024-03-02 16:00:00,"(np.True_, np.float64(5.69))","(True, 4.52)"
2024-03-03 04:00:00,"(np.True_, np.float64(1.28))","(True, 1.14)"
2024-03-03 16:00:00,"(np.True_, np.float64(6.39))","(True, 5.85)"
2024-03-04 04:00:00,"(np.True_, np.float64(8.35))","(True, 2.69)"
2024-03-04 16:00:00,"(np.True_, np.float64(2.35))","(True, 3.05)"
2024-03-05 04:00:00,"(np.True_, np.float64(6.28))","(True, 1.15)"
2024-03-05 16:00:00,"(np.True_, np.float64(6.5))","(True, 8.29)"
2024-03-06 04:00:00,"(np.True_, np.float64(2.0))","(True, 0.39)"
2024-03-06 16:00:00,"(np.True_, np.float64(7.45))","(True, 0.68)"
2024-03-07 04:00:00,"(np.True_, np.float64(6.98))","(True, 1.94)"
2024-03-07 16:00:00,"(np.True_, np.float64(7.54))","(True, 5.36)"
2024-03-08 04:00:00,"(np.True_, np.float64(2.68))","(True, 6.49)"
2024-03-08 16:00:00,"(np.True_, np.float64(7.74))","(True, 0.91)"
2024-03-09 04:00:00,"(np.True_, np.float64(8.08))","(True, 2.33)"
2024-03-09 16:00:00,"(np.True_, np.float64(3.62))","(True, 4.77)"
2024-03-10 04:00:00,"(np.True_, np.float64(1.14))","(True, 0.35)"
2024-03-10 16:00:00,"(np.True_, np.float64(7.67))","(True, 1.14)"
2024-03-11 04:00:00,"(np.True_, np.float64(7.02))","(True, 2.17)"
2024-03-11 16:00:00,"(np.True_, np.float64(2.31))","(True, 6.5)"
2024-03-12 04:00:00,"(np.True_, np.float64(6.86))","(True, 1.76)"
2024-03-12 16:00:00,"(np.True_, np.float64(1.9))","(True, 6.66)"
2024-03-13 04:00:00,"(np.True_, np.float64(1.93))","(True, 5.62)"
2024-03-13 16:00:00,"(np.True_, np.float64(7.98))","(True, 1.33)"
2024-03-14 04:00:00,"(np.True_, np.float64(5.91))","(True, 3.56)"
2024-03-14 16:00:00,"(np.True_, np.float64(5.39))","(True, 7.48)"
2024-03-15 04:00:00,"(np.True_, np.float64(6.24))","(True, 5.86)"
2024-03-15 16:00:00,"(np.True_, np.float64(2.12))","(True, 1.26)"
2024-03-16 04:00:00,"(np.True_, np.float64(5.68))","(True, 0.45)"
2024-03-16 16:00:00,"(np.True_, np.float64(4.54))","(True, 6.94)"
2024-03-17 04:00:00,"(np.True_, np.float64(1.3))","(True, 6.49)"
2024-03-17 16:00:00,"(np.True_, np.float64(3.1))","(True, 6.37)"
2024-03-18 04:00:00,"(np.True_, np.float64(7.49))","(True, 1.27)"
2024-03-18 16:00:00,"(np.True_, np.float64(3.78))","(True, 0.33)"
2024-03-19 04:00:00,"(np.True_, np.float64(5.6))","(True, 0.34)"
2024-03-19 16:00:00,"(np.True_, np.float64(3.05))","(True, 1.12)"
2024-03-20 04:00:00,"(np.True_, np.float64(2.2))","(True, 5.77)"
2024-03-20 16:00:00,"(np.True_, np.float64(3.58))","(True, 1.37)"
2024-03-21 04:00:00,"(np.True_, np.float64(5.2))","(True, 3.12)"
2024-03-21 16:00:00,"(np.True_, np.float64(1.38))","(True, 6.33)"
2024-03-22 04:00:00,"(np.True_, np.float64(5.87))","(True, 6.2)"
2024-03-22 16:00:00,"(np.True_, np.float64(3.64))","(True, 1.33)"
2024-03-23 04:00:00,"(np.True_, np.float64(11.85))","(True, 1.2)"
2024-03-23 16:00:00,"(np.True_, np.float64(2.69))","(True, 3.81)"
2024-03-24 04:00:00,"(np.True_, np.float64(1.25))","(True, 8.02)"
2024-03-24 16:00:00,"(np.True_, np.float64(8.37))","(True, 5.9)"
2024-03-25 04:00:00,"(np.True_, np.float64(6.59))","(True, 0.15)"
2024-03-25 16:00:00,"(np.True_, np.float64(3.9))","(True, 4.97)"
2024-03-26 04:00:00,"(np.True_, np.float64(5.64))","(True, 3.55)"
2024-03-26 16:00:00,"(np.True_, np.float64(5.62))","(True, 4.94)"
2024-03-27 04:00:00,"(np.True_, np.float64(9.69))","(True, 2.39)"
2024-03-27 16:00:00,"(np.True_, np.float64(6.93))","(True, 2.32)"
2024-03-28 04:00:00,"(np.True_, np.float64(5.79))","(True, 0.84)"
2024-03-28 16:00:00,"(np.True_, np.float64(7.25))","(True, 4.28)"
2024-03-29 04:00:00,"(np.True_, np.float64(6.57))","(True, 6.5)"
2024-03-29 16:00:00,"(np.True_, np.float64(5.47))","(True, 0.04)"
2024-03-30 04:00:00,"(np.True_, np.float64(6.02))","(True, 6.18)"
2024-03-30 16:00:00,"(np.True_, np.float64(5.85))","(True, 6.66)"
2024-03-31 04:00:00,"(np.True_, np.float64(1.15))","(True, 6.17)"
2024-03-31 16:00:00,"(np.True_, np.float64(0.85))","(True, 1.33)"
2024-04-01 04:00:00,"(np.True_, np.float64(7.9))","(True, 5.29)"
2024-04-01 16:00:00,"(np.True_, np.float64(4.44))","(True, 2.83)"
2024-04-02 04:00:00,"(np.True_, np.float64(6.18))","(True, 4.64)"
2024-04-02 16:00:00,"(np.True_, np.float64(7.24))","(True, 1.3)"
2024-04-03 04:00:00,"(np.True_, np.float64(2.45))","(True, 3.92)"
2024-04-03 16:00:00,"(np.True_, np.float64(7.69))","(True, 1.19)"
2024-04-04 04:00:00,"(np.True_, np.float64(6.62))","(True, 3.13)"
2024-04-04 16:00:00,"(np.True_, np.float64(5.58))","(True, 0.46)"
2024-04-05 04:00:00,"(np.True_, np.float64(6.48))","(True, 1.22)"
2024-04-05 16:00:00,"(np.True_, np.float64(6.99))","(True, 3.21)"
