decision_time,true_result,sim_1
2024-02-27 04:00:00,"(False, 12.0)","(False, 12.0)"
2024-02-27 16:00:00,"(False, 12.0)","(False, 12.0)"
2024-02-28 04:00:00,"(False, 12.0)","(True, 7.07)"
2024-02-28 16:00:00,"(False, 12.0)","(False, 12.0)"
2024-02-29 04:00:00,"(False, 12.0)","(False, 12.0)"
2024-02-29 16:00:00,"(False, 12.0)","(False, 12.0)"
2024-03-01 04:00:00,"(False, 12.0)","(True, 10.05)"
2024-03-01 16:00:00,"(False, 12.0)","(False, 12.0)"
2024-03-02 04:00:00,"(False, 12.0)","(True, 8.08)"
2024-03-02 16:00:00,"(False, 12.0)","(True, 10.04)"
2024-03-03 04:00:00,"(False, 12.0)","(True, 10.25)"
2024-03-03 16:00:00,"(False, 12.0)","(False, 12.0)"
2024-03-04 04:00:00,"(False, 12.0)","(True, 6.37)"
2024-03-04 16:00:00,"(False, 12.0)","(True, 10.41)"
2024-03-05 04:00:00,"(False, 12.0)","(True, 11.08)"
2024-03-05 16:00:00,"(False, 12.0)","(True, 11.1)"
2024-03-06 04:00:00,"(False, 12.0)","(True, 6.18)"
2024-03-06 16:00:00,"(False, 12.0)","(True, 7.57)"
2024-03-07 04:00:00,"(False, 12.0)","(True, 6.82)"
2024-03-07 16:00:00,"(False, 12.0)","(True, 0.78)"
2024-03-08 04:00:00,"(False, 12.0)","(False, 12.0)"
2024-03-08 16:00:00,"(False, 12.0)","(True, 10.21)"
2024-03-09 04:00:00,"(False, 12.0)","(True, 5.72)"
2024-03-09 16:00:00,"(False, 12.0)","(True, 5.9)"
2024-03-10 04:00:00,"(False, 12.0)","(False, 12.0)"
2024-03-10 16:00:00,"(False, 12.0)","(False, 12.0)"
2024-03-11 04:00:00,"(False, 12.0)","(True, 7.75)"
2024-03-11 16:00:00,"(False, 12.0)","(False, 12.0)"
2024-03-12 04:00:00,"(False, 12.0)","(True, 6.24)"
2024-03-12 16:00:00,"(True, 6.51)","(True, 4.77)"
2024-03-13 04:00:00,"(True, 6.28)","(True, 6.32)"
2024-03-13 16:00:00,"(True, 6.84)","(True, 6.43)"
2024-03-14 04:00:00,"(False, 12.0)","(True, 5.93)"
2024-03-14 16:00:00,"(True, 5.93)","(True, 4.87)"
2024-03-15 04:00:00,"(True, 5.45)","(True, 4.15)"
2024-03-15 16:00:00,"(True, 4.86)","(True, 5.76)"
2024-03-16 04:00:00,"(True, 6.84)","(True, 6.48)"
2024-03-16 16:00:00,"(False, 12.0)","(True, 4.66)"
2024-03-17 04:00:00,"(False, 12.0)","(True, 7.97)"
2024-03-17 16:00:00,"(True, 8.11)","(True, 6.1)"
2024-03-18 04:00:00,"(True, 11.21)","(True, 5.92)"
2024-03-18 16:00:00,"(True, 6.84)","(True, 5.91)"
2024-03-19 04:00:00,"(True, 7.55)","(True, 11.3)"
2024-03-19 16:00:00,"(True, 6.13)","(True, 5.3)"
2024-03-20 04:00:00,"(True, 9.82)","(True, 7.55)"
2024-03-20 16:00:00,"(False, 12.0)","(True, 0.03)"
2024-03-21 04:00:00,"(False, 12.0)","(False, 12.0)"
2024-03-21 16:00:00,"(False, 12.0)","(True, 6.75)"
2024-03-22 04:00:00,"(False, 12.0)","(False, 12.0)"
2024-03-22 16:00:00,"(False, 12.0)","(True, 6.8)"
2024-03-23 04:00:00,"(False, 12.0)","(False, 12.0)"
2024-03-23 16:00:00,"(False, 12.0)","(True, 7.77)"
2024-03-24 04:00:00,"(False, 12.0)","(False, 12.0)"
